text,brand,sentiment,sentiment_simple,parent_brand
hand-held û÷hoboûª: drafthouse launches û÷hobo with a shotgunûª iphone app #sxsw {link},Apple,Positive emotion,Positive,Apple
hooray rt ûï@mention apple is opening a pop-up store in austin for #sxsw | @mention {link},Apple,Positive emotion,Positive,Apple
orly....? ûï@mention google set to launch new social network #circles today at #sxswû,Google,No emotion toward brand or product,Neutral,Google
wooooo!!! ûï@mention apple store downtown austin open til midnight. #sxswû,Apple,Positive emotion,Positive,Apple
khoi vinh (@mention says conde nast's headlong rush into ipad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
ûï@mention @mention #google will connect the digital &amp; physical worlds through mobile - {link} #sxswû @mention,Google,No emotion toward brand or product,Neutral,Google
ûï@mention @mention talking about {link} - google's effort to allow users to have open systems #bettercloud #sxswû,Google,Positive emotion,Positive,Google
"{link} rt @mention &quot;google before you tweet&quot; is the new &quot;think before you speak.&quot; - mark belinsky, #911tweets panel at #sxsw.",Google,No emotion toward brand or product,Neutral,Google
{link} rt @mention 1st stop on the #sxsw #chaos &amp; @mention hunt: austin java. get in the spy game 4 a chance 2 win an ipad!,iPad,Positive emotion,Positive,Apple
{link} rt @mention those at #sxsw check out the holler gram ipad app from @mention  {link},Apple,No emotion toward brand or product,Neutral,Apple
@mention  @mention &amp;  @mention having fun at #google [pic] #sxsw {link},Google,No emotion toward brand or product,Neutral,Google
&quot;via @mention : {link} guy kawasaki talks 'enchanted' at sxsw - he knows his stuff! #books #internet #apple #sxsw  &quot;,Apple,No emotion toward brand or product,Neutral,Apple
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",Google,No emotion toward brand or product,Neutral,Google
#omfg! rt @mention heard about apple's pop-up store in downtown austin? pics are already on gowalla: {link} #sxsw #ipad2,Apple,Positive emotion,Positive,Apple
"#smile rt @mention i think apple's &quot;pop-up store&quot; in austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,No emotion toward brand or product,Neutral,Apple
again? rt @mention line at the apple store is insane.. #sxsw,Apple,Negative emotion,Negative,Apple
agree. rt @mention wait. fiona apple is in town??? somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
attending @mention ipad design headaches #sxsw {link},iPad,Negative emotion,Negative,Apple
"boooo! rt @mention flipboard is developing an iphone version, not android, says @mention #sxsw",Apple,Negative emotion,Negative,Apple
check out @mention @mention &amp; @mention in line for their ipad 2 in austin. power to them! #sxswi #sxsw  {link},iPad,Positive emotion,Positive,Apple
check! rt @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,Google,No emotion toward brand or product,Neutral,Google
"do it. rt @mention come party w/ google tonight at #sxsw! {link} - bands, food, art, ice cream, nifty interactive maps!",Google,Positive emotion,Positive,Google
"ha.ha. rt @mention #sxsw news: yahoo.com is loosing search traffic to new site, google.com. doubt it will last tho w/ that weird name.",Google,No emotion toward brand or product,Neutral,Google
holla! rt @mention at google party. best ever! get your butt over here. #sxsw,Google,Positive emotion,Positive,Google
i love my @mention iphone case from #sxsw but i can't get my phone out of it #fail,iPhone,Positive emotion,Positive,Apple
"ipad2? rt @mention droid &amp; mac here :) rt @mention my #agnerd confession, using laptop, ipad &amp; blackberry to follow #sxsw",Apple,No emotion toward brand or product,Neutral,Apple
new post: @mention iphone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive emotion,Positive,Apple
nice that @mention iphone app is behaving today. crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive emotion,Positive,Apple
nice!  rt @mention apple opening popup store for ipad launch in downtown austin during #sxsw {link} via @mention,Apple,No emotion toward brand or product,Neutral,Apple
"nice!! rt @mention hey, apple fans! get a peek at the space that's slated to be a pop-up #sxsw apple store tomorrow: {link}",Apple,Positive emotion,Positive,Apple
"one thing @mention is doing so great is get a great, down to earth face to google as a company - you can only love her #sxsw #sxwsi",Google,Positive emotion,Positive,Google
thanks to @mention for her mention of our new #speech ipad apps being showcased at the #sxsw conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive emotion,Positive,Apple
what !?!? @mention  #sxsw does not provide iphone chargers?!?  i've changed my mind about going next year!,iPhone,Negative emotion,Negative,Apple
wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #sxsw #ipad2,Apple,No emotion toward brand or product,Neutral,Apple
"xmas!! rt @mention shiny new @mention @mention @mention apps, a new @garyvee book, pop-up ipad 2 stores... #sxsw is christmas for nerds.",iPad,Positive emotion,Positive,Apple
yai!!! rt @mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored by (cont) {link},iPhone,Positive emotion,Positive,Apple
"fast, fun &amp; future: @mention of google presenting at #sxsw on search, local and mobile",Google,Positive emotion,Positive,Google
gsd&amp;m &amp; google's industry party tonight @mention - see u there! {link} #sxsw #austin #welivehere #gsdm,Google,No emotion toward brand or product,Neutral,Google
"new buzz? &quot;@mention google to launch major new social network called circles, possibly today {link} rt @mention #sxsw&quot;",Google,No emotion toward brand or product,Neutral,Google
headline: &quot;#ipad 2 is the must-have gadget at #sxsw&quot; hmm... i could have seen that one coming! {link} #gadget,iPad,Positive emotion,Positive,Apple
ûï@mention &quot;apple has opened a pop-up store in austin so the nerds in town for #sxsw can get their new ipads. {link} #wow,Apple,I can't tell,Neutral,Apple
know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iphone. i'm just sayin'. #sxsw,Apple,Negative emotion,Negative,Apple
".@mention &quot;google launched checkins a month ago.&quot; check ins are ok, but check outs are the future. #sxsw #bizzy",Google,Positive emotion,Positive,Google
".@mention &quot;google launched checkins a month ago.&quot; check ins are ok, but check outs are the future. #sxsw #bizzy (via @mention",Google,No emotion toward brand or product,Neutral,Google
"ûï@mention &quot;google before you tweet&quot; is the new &quot;think before you speak.&quot; - mark belinsky, #911tweets panel at #sxsw.û",Google,Positive emotion,Positive,Google
"attending &quot;left brain search = google, right brain search = x&quot;  #bettersearch  -- talking about the future of search engines at #sxsw",Google,No emotion toward brand or product,Neutral,Google
#hp opens &quot;mobile park&quot;  &amp; content incubator at #sxsw  {link}   #apple  constructs  &quot;pop-up&quot; store  {link},Apple,No emotion toward brand or product,Neutral,Apple
"kawasaki: &quot;not c.s. lewis level reasoning, but apple's continued existence is evidence for the existence of god&quot; #bawling #sxsw",Apple,Positive emotion,Positive,Apple
kawasaki: &quot;pagemaker saved apple.&quot; oh those were the days. #sxsw #jwtatl #enchantment,Apple,No emotion toward brand or product,Neutral,Apple
kawasaki: &quot;pagemaker saved apple.&quot; oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive emotion,Positive,Apple
spark for #android is up for a #teamandroid award at #sxsw read about it here: {link},Google,Positive emotion,Positive,Google
"unboxing. #apple #sxsw  @mention apple store, sxsw {link}",Apple,No emotion toward brand or product,Neutral,Apple
"#sxsw and #apple ipad 2's are great, but thoughts are w/ japan and apac regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive emotion,Positive,Apple
"at #sxsw, #apple schools the #marketing experts | sxsw - cnet blogs {link}",Apple,No emotion toward brand or product,Neutral,Apple
"at #sxsw, #apple schools the marketing experts - {link}",Apple,Positive emotion,Positive,Apple
"at #sxsw, #apple schools the marketing experts {link}",Apple,No emotion toward brand or product,Neutral,Apple
"temporary #apple store is def not a tent, it's a powerhouse gym #sxsw  {link}",Apple,Positive emotion,Positive,Apple
"temporary #apple store on 6th and congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive emotion,Positive,Apple
ûï@mention #apple wins #sxsw {link} opening a temporary store in downtown austin to support #ipad2 launch - that is good.,Apple,Positive emotion,Positive,Apple
#ipad and #austin are trending today. have fun at #sxsw all you nerdy nerds!!!,iPad,Positive emotion,Positive,Apple
funny how #austin is trending but not #sxsw. only a matter of minutes at this point (at least according to twitter for iphone).,Apple,No emotion toward brand or product,Neutral,Apple
christian #ipad #iphone devs i want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,Positive emotion,Positive,Apple
#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. an unexpected experience can be good.,Apple,No emotion toward brand or product,Neutral,Apple
the apple #ipad2  has taken #sxsw and #austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,Positive emotion,Positive,Apple
i can haz #ipad2 ifrom #sxsw gr8 {link},iPad,Positive emotion,Positive,Apple
"stacks of #ipad2's waiting to be bought at #sxsw. i got mine, no hassle at all. apple handled this perfectly {link}",iPad,Positive emotion,Positive,Apple
"#google's #mobile future, and the elusive 'power of here' - {link} (via @mention #eurorscg #sxsw #sxswi",Google,No emotion toward brand or product,Neutral,Google
does your #smallbiz need reviews to play on google places...we got an app for that..{link}  #seo #sxsw,Google,Positive emotion,Positive,Google
does your #smallbiz need reviews to play on google places...we got an app for that..{link} #seo #sxsw,Google,No emotion toward brand or product,Neutral,Google
"#samsung, #sony follow #apple, #hp lead @mention {link} #austin #atx #sxsw",Apple,No emotion toward brand or product,Neutral,Apple
"#samsung, #sony follow #apple, #hp lead @mention {link} #austin #atx #sxsw /via @mention ^rg",Apple,No emotion toward brand or product,Neutral,Apple
"take that #sxsw ! rt @mention major south korean director gets $130,000 to make a movie entirely with his iphone. {link}",iPhone,Positive emotion,Positive,Apple
"beautiful #sxsw (@mention apple store, sxsw) [pic]: {link}",Apple,Positive emotion,Positive,Apple
q1 was at #sxsw #sxswi for prep. amazing pre push locally. focus on location based. google owns 10% of the regions billboards. #pr20chat,Google,No emotion toward brand or product,Neutral,Google
any other #sxsw accounts i need to follow or apps to download for iphone?,Apple,No emotion toward brand or product,Neutral,Apple
headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,Apple,No emotion toward brand or product,Neutral,Apple
headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},Apple,No emotion toward brand or product,Neutral,Apple
btw - the #sxsw apple store is sold out of all 3g models (vzw &amp; at&amp;t).,Apple,No emotion toward brand or product,Neutral,Apple
must have #sxsw app! rt @mention lovely review from forbes for our sxsw ipad app holler gram - {link},iPad or iPhone App,Positive emotion,Positive,Apple
temporary #sxsw apple store. apple being sneaky as usual  {link},Apple,Positive emotion,Positive,Apple
anyone at #sxsw been by the pop-up apple store in austin? that's gotta be a hopping place today.,Apple,No emotion toward brand or product,Neutral,Apple
ûï@mention #sxsw beta testing interactive book for ipad app by moonbot studios out of louisiana.  cool app.û,iPad or iPhone App,Positive emotion,Positive,Apple
apple won #sxsw from day one. seeing a ton of #ipad2,iPad,Positive emotion,Positive,Apple
#fastball #sxsw giving away two new ipad2 wifi 32g black apple cover tweet @mention fo more info #sxswi #attsxsw  tonight @mention bo.lt house,Apple,No emotion toward brand or product,Neutral,Apple
anyone at #sxsw had a chance to check out the pop-up apple store? wondering if it is worth the trek from the convention center...,Apple,No emotion toward brand or product,Neutral,Apple
ûï@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteû @mention did you manage to get yours?,iPad,Positive emotion,Positive,Apple
ûï@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteû also known as the white jeans configuration.,iPad,Positive emotion,Positive,Apple
offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. sucks to not be here. #sxsw,iPad,Positive emotion,Positive,Apple
@mention  #sxsw is an austin conference. do a google search - they have interactive / music / film.,Google,No emotion toward brand or product,Neutral,Google
anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,Apple,No emotion toward brand or product,Neutral,Apple
anyone at #sxsw know if the apple store has had a new shipment of ipads yet?,Apple,No emotion toward brand or product,Neutral,Apple
marc ecko #sxsw launches #iphone app. to autodial political change! {link} #edreform #edtech #eduvc #fightthepaddle,Apple,No emotion toward brand or product,Neutral,Apple
#poursite #sxsw learning about the life-changing impact of the ipad on real people's actual lives - bravo!,iPad,Positive emotion,Positive,Apple
@mention  #sxsw lonelyplanet austin guide for #iphone is free for a limited time {link} #lp #travel,Apple,Positive emotion,Positive,Apple
anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,Google,No emotion toward brand or product,Neutral,Google
@mention  #sxsw prompt for memory: go to google map and describe a childhood walk,Google,No emotion toward brand or product,Neutral,Google
the apple #sxsw store still has ipad 2's and short lines.,iPad,Positive emotion,Positive,Apple
"just left #sxsw tradeshow demo of @mention at the google theatre. ok, i get it. i see why all the presenters here are using it.",Other Google product or service,Positive emotion,Positive,Google
"following #sxsw tweets on google realtime, four platforms on tweet deck and listening to panel, realizing i'm spoken to no one here today.",Google,No emotion toward brand or product,Neutral,Google
anyone at #sxsw want an ipad 2? i'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,Apple,No emotion toward brand or product,Neutral,Apple
anyone at #sxsw want to make a quick hundred dollars? new #ipad2 from ad hoc apple store here gets hundred plus cost!,iPad,Positive emotion,Positive,Apple
solving a #sxsw-induced iphone-in-toilet crisis at apple store with @mention (not my crisis for once),Apple,No emotion toward brand or product,Neutral,Apple
"monday at #sxsw: barry diller, new york times, congress lunch, w hotel party, google party, six dirty martinis. how mondays should be.",Google,Positive emotion,Positive,Google
"seriously #sxsw? did you do any testing on the mobile apps? constant ipad crashes causing lost schedules, and no sync for wp7.",iPad or iPhone App,Negative emotion,Negative,Apple
ready for #sxsw?! here are some iphone apps 2 make ur blogging easier | {link} #sxsw #sxswi,iPad or iPhone App,Positive emotion,Positive,Apple
ipad2 and #sxsw...a conflagration of doofusness.  {link},iPad,Negative emotion,Negative,Apple
attention #sxsw'ers - {link} - rumored pop-up temporary apple store for all your #sxsw ipad 2 launch needs.,Apple,Positive emotion,Positive,Apple
i went to #sxswi and all i won was this lousy #ipad #sxsw :-) :-) {link},iPad,Positive emotion,Positive,Apple
attending #sxswi? work in iphone / ipad game development? looking to hire an austin-based ios developer? i'm your man. let's talk. #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
this is a #winning picture #android #google #sxsw {link},Android,Positive emotion,Positive,Google
gsd&amp;m + google 7-10. rt @mention what's the best party to hit tonight? #sxsw @mention @mention,Google,No emotion toward brand or product,Neutral,Google
gsd&amp;m + google industry party #sxsw @mention great to meet you  {link},Google,No emotion toward brand or product,Neutral,Google
"you spent $1,000+ to come to sxsw. 

you've already used ipad 1. 

the wait is a couple city blocks. 

why? #ipad2 #sxsw {link}",iPad,Negative emotion,Negative,Apple
#sxsw day 1 - marissa mayer: google will connect the digital &amp; physical worlds through mobile {link},Google,No emotion toward brand or product,Neutral,Google
behind on 100s of emails? give them all 1 line iphone composed replies. #sxsw #protip,iPhone,Positive emotion,Positive,Apple
it's like 10pm at night and there is a line around the block at the popup apple stores selling ipad2s. #sxsw,iPad,Positive emotion,Positive,Apple
more than 150 million mobile users for google maps for mobile #sxsw,Google,No emotion toward brand or product,Neutral,Google
currently 150 people in line at the &quot;pop up apple store&quot; #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
"only ipad 2 available at #sxsw is the 64gb wifi-only model at $699, plus the optional (not!) leather smart cover at $69",Apple,No emotion toward brand or product,Neutral,Apple
less than 2 hours until we announce the details on the ipad 2 giveaway! #sxsw #sxswi,Apple,No emotion toward brand or product,Neutral,Apple
"i'm up to 2 ipad 2s seen in the wild. both people say it is fast, but the still pics are terrible. #sxsw",iPad,Negative emotion,Negative,Apple
(the ipad 2 queue at #sxsw of course,Apple,No emotion toward brand or product,Neutral,Apple
the #ipad 2 takes over #sxsw [video] /by @mention {link},iPad,Positive emotion,Positive,Apple
many ipad 2's snapping away at the keynote slides! #sxsw,iPad,Positive emotion,Positive,Apple
apple has 200m users' credit cards sync'd with itunes for one click purchase. . #winning #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
having my 2nd cocktail &quot;texas snowflake&quot;  ( @mention google it!!) at the #cnngrill #sxsw,Google,No emotion toward brand or product,Neutral,Google
new post: 3 iphone apps we'll be using at south by southwest interactive {link} #sxsw #sxswi,iPad or iPhone App,Positive emotion,Positive,Apple
new post: 3 iphone apps we'll be using at south by southwest interactive #sxsw #sxswi {link},Apple,No emotion toward brand or product,Neutral,Apple
sweet new 3-d google maps demo going on in ballroom d #sxsw,Other Google product or service,Positive emotion,Positive,Google
more than 35 million miles per day are driving with google maps navigation! #sxsw,Other Google product or service,Positive emotion,Positive,Google
rt ' it's 4 p.m. and the #ipad2 line at the apple store is longer and wider ûò about 250 people! only one more hour. ' #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
"u = smart 4 packing an extra :) rt @mention on my way to sunny austin for #sxsw! extra iphone in stow, just in case. @mention @mention",Apple,No emotion toward brand or product,Neutral,Apple
"wonder if 4sqwill attempt to block gowalla cross-checkins, the way facebook blocked google's contacts connections.  #sxsw #lbswars",Google,No emotion toward brand or product,Neutral,Google
#sxsw day 5 at the #apple store and there's still a line...and growing {link},Apple,Positive emotion,Positive,Apple
"wandering 6th street with the girls. stopped for ceviche, mojitos, apple juice &amp; ice cream. #sxsw",Apple,No emotion toward brand or product,Neutral,Apple
"if you're a band at #sxsw and want to share a track with your audience from stage, use frostwire for android if there's wi-fi available",Android App,Positive emotion,Positive,Google
we've got a busy week ahead: our new book on #google apps will be available on amazon &amp; we're attending #sxsw,Google,No emotion toward brand or product,Neutral,Google
"i believe a few went to aussies at #sxsw rt @mention ipad 2 sold out, 70% went to new buyers [report] - {link}",Apple,No emotion toward brand or product,Neutral,Apple
ûï@mention a google spreadsheet of over 270 parties at #sxsw this year o_o {link} @mention plan on going to #sxsw party on,Google,No emotion toward brand or product,Neutral,Google
"there was a guy in line for apple's pop-up store on sixth street in austin. &quot;i'm that guy,&quot; he told me. #sxsw",Apple,No emotion toward brand or product,Neutral,Apple
if u have a iphone you don't need a car'-use zimride etc to share rides #sxsw #shareable,iPad or iPhone App,Positive emotion,Positive,Apple
"i've seen a lot of tablets here, every single one of them is an ipad. #sxsw",Apple,No emotion toward brand or product,Neutral,Apple
receiving a lot of @mention messages telling me i'm sexy in response to my post looking to meet fellow christian iphone devs at #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
picked up a mophie battery case 4 my iphone in prep for #sxsw. not lugging around a laptop &amp; only using my phone was a huge win last year.,iPhone,Positive emotion,Positive,Apple
"now thats a news :p rt@mention google to launch major new social network called circles, possibly today {link} #sxsw",Google,No emotion toward brand or product,Neutral,Google
"just took a piss at the trade show, ipad in one hand, iphone in the other. pissing. i am kiiiiiilling it right now. #sxsw",Apple,No emotion toward brand or product,Neutral,Apple
"not to be a rumor monger, but this was a good read å_ #google #circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb",Other Google product or service,Positive emotion,Positive,Google
hobo with a shotgun iphone game {link} #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
hobo with a shotgun video game coming to ipad/iphone users?! yes please! {link} #sxsw,iPad or iPhone App,Positive emotion,Positive,Apple
build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2,Apple,Positive emotion,Positive,Apple
just took a survey on iphone while in starbucks line. got a free starbucks gift card. instant research. instant gratification. #sxsw #gsdm,Apple,No emotion toward brand or product,Neutral,Apple
apple has a temporary retail store in austin for the ipad 2 release today. opens at 5pm. #sxsw #sxswi #ipad2,Apple,No emotion toward brand or product,Neutral,Apple
just read about #groupme at #sxsw...sounds like an incredible app. is it available for android phones yet?,iPad or iPhone App,Positive emotion,Positive,Apple
wondering about circles? &gt; google to reveal a new social network at #sxsw {link},Google,No emotion toward brand or product,Neutral,Google
"google is about search, but local' marissa mayer #sxsw",Google,No emotion toward brand or product,Neutral,Google
wondering about street closures during sxsw? we made a google map to show you: {link} #sxsw #austin,Google,No emotion toward brand or product,Neutral,Google
is google about to have another go at social with &quot;google circles&quot;? #sxsw #google,Google,No emotion toward brand or product,Neutral,Google
questions about what's inside the ipad 2? fire them my way. #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
paraormal activity: sanctuary iphone game. sketching your ar experience. interactivity through &quot;magic lense&quot; #eduar #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
apple iie ad in the '85 si swimsuit issue at a garage sale #sxsw {link},Apple,No emotion toward brand or product,Neutral,Apple
flipboard adds instagram photos and social search [apps] {link} #apple #socialsearch #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
"if iphone alarms botch the timechange, how many #sxsw'ers freak? late to flights, missed panels, behind on bloody marys...",iPhone,Negative emotion,Negative,Apple
shouts to all the ladies holding up their ipad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention,iPad,Positive emotion,Positive,Apple
"dj hoodie allen, with all due respect, you should probably make your way back to google #sxsw",Google,No emotion toward brand or product,Neutral,Google
i meant i also wish i  at #sxsw #dyac stupid iphone!,iPhone,Negative emotion,Negative,Apple
"just what america needs. rt @mention google to launch major new social network called circles, possibly today {link} #sxsw",Google,I can't tell,Neutral,Google
audioboo: american dream or bust {link} #ipad #sxsw #bum #begger #us #socialart #documentally,Apple,No emotion toward brand or product,Neutral,Apple
skifta is an app-based media shifting service that turns your android phone into a ...  #sxsw #mashable #sxswi {link},Google,No emotion toward brand or product,Neutral,Google
rumors of an apple store opening for #sxsw at 6th &amp; congress. all signs point to yes! {link},Apple,Positive emotion,Positive,Apple
what does an apple security guy after he locks up the store..... #sxsw - {link},Apple,No emotion toward brand or product,Neutral,Apple
what does an apple security guy after he locks up the store..... #sxsw - the realtime sxsw s... {link} curated by @mention,Apple,No emotion toward brand or product,Neutral,Apple
